�ния в крови меди;R79.0;47831
10051016;Отравление настойкой опия насыщенной камфорой;T40.0;51077
10051017;Отравление натамицином;T49.0;51078
10051018;Отравление натрием цианистым;T65.0;51079
10051019;Отравление натрий L-трийодтиронином;T38.1;51080
10051020;Отравление натрия алгинатом;T47.8;51081
10051021;Отравление натрия амидотризоатом;T50.8;51082
10051022;Отравление натрия амилосульфатом;T47.8;51083
10051023;Отравление натрия аминоптерином;T45.1;51084
10051024;Отравление натрия антимонилтартратом;T37.8;51085
10051025;Отравление натрия арсенатом;T57.0;51086
10051026;Отравление натрия ауротиомалатом;T39.4;51087
10051027;Отравление натрия ауротиосульфатом;T39.4;51088
10051028;Отравление натрия ацетосульфоном;T37.1;51089
10051029;Отравление натрия ацетризоатом;T50.8;51090
