 хромосом амниотической жидкости;R89.8;20571
10026842;Косолапость асимметричная;Q66.8;26893
10026843;Косолапость вальгусная;Q66.6;26894
10026844;Косолапость варусная;Q66.3;26895
10026845;Косолапость врожденная;Q66.8;26896
10026846;Косолапость конская;Q66.8;26897
10026847;Косолапость конско-вальгусная;Q66.6;26898
10026848;Косолапость конско-варусная;Q66.0;26899
10026849;Косолапость паралитическая;M21.5;26900
10026850;Косолапость при врожденном плоскостопии;Q66.5;26901
10026851;Косолапость при плоскостопии;M21.4;26902
10026852;Косолапость при плоскостопии, вызванном рахитом;E64.3;26903
10026853;Косолапость при плоскостопии, вызванном рахитом как поздний эффект;E64.3;26904
10026854;Косолапость при приобретенном плоскостопии;M21.4;26905
