зяином квартиры;Z59.2;59528
10062159;Рак малой кривизны желудка;C16.5;62227
10062160;Рак малой половой губы;C51.1;62228
10062161;Рак малой слюнной железы;C06.9;62229
10062162;Рак малой срамной губы;C51.1;62230
10062163;Рак мантии;C55;62231
10062164;Рак матки;C55;62232
10062165;Рак матки, места перехода плоского эпителия в цилиндрический;C53.8;62233
10062166;Рак маточной трубы;C57.0;62234
10062167;Рак маточно-крестцовой связки;C57.3;62235
10062168;Рак маточно-яичниковое;C57.8;62236
10062169;Рак маточно-яичниковой связки;C57.1;62237
10062170;Рак медиального мениска коленного сустава;C40.2;62238
10062171;Рак медуллярный с амилоидной стромой неуточненной локализации;C73;62239
10062172;Рак медуллярный с лимфоидной стромой неуточненной локализации;C50.9;62240
10062173;Рак медуллярный с лимфоидной стромой неуточненной локализации у женщин;C50.9;62241
10062174;Рак междолькового желчного протока;C22.1;62242
10062175;Рак междольковых желчных канальцев;C22.1;62243
10062176;Рак межпозвоночного диска;C41.2;62244
10062177;Рак межпозвоночного хряща;C41.2;62245
10062178;Рак межреберного нерва;C47.3;62246
10062179;Рак межчерпаловидной складки;C13.1;62247
10062180;Рак мейбомиевой железы;C44.1;62248
10062181;Рак мелкоклеточный веретеноклеточного типа неуточненной локализации;C34.9;62249
10062182;Рак мелко-крупноклеточный неуточненной локализации;C34.9;62250
10062183;Рак мениска коленного сустава;C40.2;62251
10062184;Рак места перехода плоского эпителия в цилиндрический в шейке матки;C53.8;62252
10062185;Рак мечевидного отростка грудины;C41.3;62253
10062186;Рак мечевидного отростка◊;C41.3;62254
10062187;Рак мешочка предстательной железы;C68.0;62255
10062188;Рак миндаликовой ямки;C09.0;62256
10062189;Рак миндалины;C09.9;62257
10062190;Рак миндалины зева;C09.9;62258
10062191;Рак миокарда;C38.0;62259
10062192;Рак миометрия;C54.2;62260
10062193;Рак множественное самостоятельных первичных локализаций;C97;62261
10062194;Рак мозгового слоя надпочечника;C74.1;62262
10062195;Рак мозговых оболочек;C70.9;62263
10062196;Рак мозговых оболочек большого мозга;C70.0;62264
10062197;Рак мозговых оболочек головного мозга;C70.0;62265
10062198;Рак мозжечка;C71.6;62266
10062199;Рак мозолистого тела;C71.8;62267
10062200;Рак молочной железы;C50.9;62268
10062201;Рак молочной железы эктопической локализации;C50.8;62269
10062202;Рак мостомозжечковой области;C71.6;62270
10062203;Рак мочевого органа;C68.9;62271
10062204;Рак мочевого пузыря;C67.9;62272
10062205;Рак мочевой системы;C68.9;62273
10062206;Рак мочеточника;C66;62274
10062207;Рак мочеточникового отверстия мочевого пузыря;C67.6;62275
10062208;Рак мочки уха;C44.2;62276
10062209;Рак мошонки;C63.2;62277
10062210;Рак мужского мочеполового тракта;C63.9;62278
10062211;Рак мужского мюллерова канала;C63.7;62279
10062212;Рак мужского полового органа;C63.9;62280
10062213;Рак мужского полового органа уточненной локализации;C63.7;62281
10062214;Рак мужского полового тракта;C63.9;62282
10062215;Рак мужского полового тракта уточненной локализации;C63.7;62283
10062216;Рак мукоидный клеточный неуточненной локализации;C75.1;62284
10062217;Рак мышцы;C49.9;62285
10062218;Рак мягких тканей верхней челюсти;C03.0;62286
10062219;Рак мягких тканей нижней челюсти;C03.1;62287
10062220;Рак мягких тканей челюсти;C03.9;62288
